date,month,CLE,WHI,LEW,WRS,SHA,KES,ORO,ANT,FRD,DAV,BUL,ENG,FOL,UNV,LON,ICH,NAT,INV,BLB,NHG,CMN,PAR,DON,BRD,TUL,NML,DNP,HTH,BUC,HID,MIL,SNL,PNF,TRM,SCC,ISB,STP,CCH,PYM,CAS,
1/1978,1,817600,192900,14200,0,2979700,22210,2030400,5340,9340,39410,546379,60140,602500,101280,28000,15920,8360,89200,45758,73416,71700,133450,7210,30780,27900,79908,549037,84000,35351,33671,375500,1108500,309692,15216,13136,63926,30772,129900,163280,87710,
2/1978,2,1006000,193300,14610,0,3614000,22640,2525100,6920,10700,41720,580640,55267,646700,129030,18400,17700,7840,131700,63444,118834,116600,147430,7580,32560,55700,64747,744743,65480,88367,39162,436900,1617910,507767,48202,35739,129436,31552,205900,164030,185380,
3/1978,3,1292300,204100,14260,0,3982200,22250,2841600,12900,21190,52290,695261,66917,618200,157870,23170,23800,8660,161400,94290,171608,168190,180920,12900,49220,54340,54064,1025024,72080,132248,65371,422200,1879430,545467,91626,56468,254057,42146,206100,,303090,
4/1978,4,1501700,223700,14210,0,4431900,22380,3168400,19090,27530,61110,745775,66086,844300,178670,24010,24440,8760,175980,136071,220112,219410,197950,10700,78890,42910,69265,1205178,96800,136255,73418,240900,2015900,488132,105295,66727,283723,51316,205400,169640,318590,
5/1978,5,1758100,238700,14290,0,4477700,22350,3344500,23230,28260,64680,806881,63293,886600,211000,48370,30140,8360,179312,126752,222165,275800,181970,59900,79880,42700,96325,1271234,215170,143941,82650,197700,2018400,606007,108438,79912,374636,,206800,165930,314170,
6/1978,6,1943100,238000,14110,0,4290400,21940,3330700,22540,24940,63260,930961,65938,927400,245400,68420,40260,8260,173200,98857,206890,384500,200000,64300,97730,67100,112980,1610675,321500,143106,80620,402500,1987800,884480,131316,81235,483569,63946,205500,161900,309360,
7/1978,7,1976000,239000,14230,0,3906500,22800,3021900,21330,22470,63160,867341,67708,871100,231300,72390,43760,8660,165900,56906,189497,388340,208840,63500,97740,67100,90223,1661185,362300,133532,71261,479700,1751900,876809,87404,58407,468614,63538,201100,165300,294130,
8/1978,8,1929500,238500,14010,0,3498500,22240,2795200,19640,20080,58120,718832,68043,810000,212800,58950,39280,8920,158520,48466,171187,365980,192860,53700,94160,66200,29000,1570906,339900,113861,56225,381100,1541800,652163,17699,35779,385844,62014,196400,165420,277110,
9/1978,9,1870100,230100,13870,0,3427900,21030,2744200,18510,19440,57010,582128,68370,700100,202800,57840,35500,8360,156765,37740,161805,338370,177090,45700,88230,32100,43578,1575169,326400,108018,49326,379000,1718900,,22185,24878,368228,61453,193400,166830,,
10/1978,10,1815500,202700,13690,0,3332100,21800,2727900,17370,19030,55810,521778,67074,627600,204600,50580,25630,8760,155489,21921,152980,306820,175990,38600,68200,57190,45769,1562408,277800,107433,39507,256400,1752400,648622,11141,18229,294143,60780,190200,165040,246660,
11/1978,11,1697800,201800,14030,0,3310800,22000,2707300,16150,19080,55850,485431,67143,638500,179300,47600,25800,8510,154996,20858,151149,295010,181790,24400,61190,57760,38037,1525639,231000,106700,35408,264600,1852400,645136,14825,11423,247599,60999,189000,166950,273860,
12/1978,12,1512300,201500,14040,0,3335700,21950,2653000,15320,19240,55720,445391,69799,641100,173000,38710,26200,8310,154561,17908,151908,293250,182550,11800,57690,59120,52336,1506988,187300,107718,25402,344500,1926100,658623,14656,11518,244906,61248,188300,160900,293710,
1/1979,1,1533800,202400,14140,0,3338700,21970,2771600,15020,19560,57430,436071,66996,679700,165000,31200,27000,8260,163470,26443,162608,310300,186320,7900,53770,61080,55129,1536076,164500,109979,33883,456100,2019200,711032,13413,15753,245280,61497,194100,164660,292450,
2/1979,2,1588200,203200,14440,0,3682200,22100,2901000,15270,20170,59170,460194,59966,706500,161000,27900,23750,8310,182595,43249,192046,323090,183000,6550,40230,61860,81787,1564529,138500,125422,52818,428700,2021700,788903,20624,25420,254411,61395,205100,165550,306110,
3/1979,3,1737800,224400,13820,0,4137800,22680,3059600,16750,21690,61010,613704,63520,832100,181200,22100,26550,8310,197378,95063,235847,336010,197540,6220,39860,65830,106871,1612846,129500,133064,70298,481800,2021700,856797,54789,46634,278909,63493,205500,166440,318360,
4/1979,4,1872500,235600,13910,0,4264000,21360,3294400,19630,22610,65310,764149,67947,958700,213000,29800,29330,8170,192329,106007,246709,375650,197820,10300,65660,63390,174420,1631394,152800,142413,80279,449600,2027700,841563,88790,63918,330654,64615,204800,168230,318360,
5/1979,5,2096500,239000,14130,0,4336600,21630,3502100,19520,20560,66520,933777,67947,973200,264000,69620,44110,8360,175640,89750,238652,423070,202410,63900,97450,60400,289314,1825925,310000,145635,88373,505400,1912300,984639,142658,78576,426821,60853,203500,159900,317920,
6/1979,6,2097100,237000,13790,0,3965100,21360,3328500,19340,17450,63880,928619,69106,908800,275700,75210,45520,8870,163740,62551,224287,418780,205910,64200,97700,64140,281799,1876601,359400,139658,76039,452800,1544800,887248,112304,73696,413630,61674,199300,168230,297530,
7/1979,7,1954100,237400,14030,0,3450500,21680,3037800,20980,14980,58870,850024,66838,851800,250600,66600,42500,8610,156881,41478,208507,397140,191160,56200,96700,66730,215371,1755379,340600,128369,56840,293200,1243700,654501,35197,48056,324352,60055,194600,164030,278750,
8/1979,8,1771900,239000,14140,0,3200600,21810,2769200,19930,13900,49920,728368,68587,792400,221700,54700,37340,8070,149228,31423,190864,365770,184910,44900,91610,65650,153520,1647894,293500,118452,42427,181700,1068900,524254,8837,23838,236631,58540,189500,164410,260040,
9/1979,9,1661000,234100,13630,0,3141300,21500,2672200,18960,13270,47540,623920,66814,710400,180200,49260,36180,8510,145532,20190,177147,343180,176050,25500,88980,64830,115920,1606339,248100,103984,33517,164300,1212700,484045,9237,12738,218268,56738,183900,168490,270430,
10/1979,10,1617100,221200,13760,0,3212000,21850,2700900,18500,13150,47340,533267,68170,661900,163200,52420,36700,8760,144720,15170,171984,317440,175700,19500,71340,47470,127700,1566653,212000,99471,30042,188300,1369800,508341,12485,11648,211769,55915,181300,165550,266620,
11/1979,11,1671700,202700,13620,0,3317800,22440,2747100,18130,13110,47080,476030,68066,612700,172400,49930,34990,8070,148920,21554,171833,296010,186570,18100,59700,45720,157000,1568884,177110,99963,27463,191300,1454000,533628,15138,11244,209719,56655,179000,165300,269830,
12/1979,12,1711900,202800,13890,0,3380900,21760,2814000,17950,13260,48010,424028,66226,621400,177400,39140,26680,8870,161520,38359,176535,297080,196660,13000,42890,46020,181700,1596615,145300,100529,26170,246800,1375400,562915,15864,12606,208768,59752,177100,164030,283680,
1/1980,1,1932200,201400,14120,0,3605500,22410,2735500,22900,19160,56740,757874,66641,622500,221600,59130,36030,8560,221966,49178,166519,289810,199700,38800,78320,58210,282500,1697054,202200,107657,27266,383700,1556700,750237,77001,48621,297292,83695,179900,166440,299020,
2/1980,2,2191300,207900,14460,0,3792600,21010,2867800,23180,24220,64470,796060,71566,667300,230700,60050,36240,8360,261406,60472,198991,292060,206530,22700,78570,58240,400000,1753064,207600,107973,31321,411500,1774900,873345,78373,62147,383199,93583,205700,168230,319910,
3/1980,3,2126800,218900,13790,0,3869700,21450,2893200,23090,28470,67470,776359,65124,677200,215500,50510,31070,8610,262280,79059,209746,271640,188510,6880,77970,57590,384600,1624829,192890,123135,51837,321200,1923300,683025,63368,61630,363000,104070,204800,169000,318800,
4/1980,4,2209800,235300,14440,0,4153800,21320,3174600,23790,34890,74780,766215,61008,723600,228300,46040,30100,8870,267672,91764,215633,290000,179990,29400,91790,59260,257000,1589084,217290,128336,66723,267800,1965600,625844,73266,65877,385667,133895,204800,160280,317920,
5/1980,5,2354800,239600,14020,0,4173800,22010,3344200,23350,38450,77760,826303,68394,841200,249100,61330,37020,8410,253640,81535,207270,306820,189880,58400,90110,58030,237800,1726630,230500,130375,76400,343100,1987100,741853,114411,79605,501234,152939,204300,163900,313510,
6/1980,6,2332000,237900,14100,0,3919500,21480,3117800,22700,37950,76680,816936,67509,845000,276200,75220,44900,8710,234812,64064,193905,340660,211920,64200,97780,65300,351500,1812830,348410,127812,70270,510200,1756700,967158,144210,82019,581319,143423,200900,165300,296890,
7/1980,7,2240600,238000,14040,0,3555500,23040,2885100,21670,34760,73920,681596,67819,723900,264600,68360,44140,8660,216084,41289,178957,351380,198560,64000,97760,64970,329900,1935869,360400,117089,55003,510800,1522951,934989,106997,75490,540904,147883,196300,129830,305240,
8/1980,8,2056200,239200,13710,0,3322900,22820,2660500,20290,30890,71090,509969,67835,694100,227800,58030,43480,8820,213262,30831,161441,338500,185820,51800,94730,57100,276900,1864438,334100,108891,40203,358200,1351986,735711,,42146,408528,146344,191100,130590,292030,
9/1980,9,1878700,234500,13690,0,3320700,22050,2611200,18750,28500,68550,339226,69231,669800,169500,53870,38660,8360,211120,17565,148801,324210,177070,31100,94540,47760,276900,1743826,290000,98779,32093,287600,1483179,683552,12104,20533,330388,145455,187400,131030,262040,
10/1980,10,1850700,219100,13840,0,3256900,22200,2598600,17620,27800,67190,259701,65666,628200,169900,41210,20600,8610,209318,10550,142039,297970,181450,39600,35600,57660,268900,1676822,243300,98275,23302,205600,1616591,689069,12336,12080,269997,144761,183900,131900,236430,
11/1980,11,1792100,204900,13990,0,3202500,21050,2619100,16120,27630,66330,213124,65875,635100,149860,35780,20650,8460,208169,12943,138776,284980,174480,42730,43290,57890,285900,1619374,199680,98189,24048,223000,1738184,722575,15780,11518,230172,145947,180960,137600,226070,
12/1980,12,1821900,190700,14050,0,3190700,22060,2732400,16200,27210,66690,178703,60475,628600,121700,31820,21290,8510,213024,16331,137627,277200,186380,14400,46920,60850,316000,1544465,154700,98807,25352,255700,1767418,737555,14855,11964,229812,141288,179500,142230,214700,
1/1981,1,1929900,197300,13940,0,3453500,22480,2881000,15810,28560,68550,202134,62169,658300,102800,30680,20350,7930,229916,60178,153375,292500,192560,6500,28080,58430,340800,1501838,113200,103909,28582,289600,1990048,745260,13963,14645,231543,142093,179300,165750,210970,
2/1981,2,2046900,192300,13710,0,3865200,23190,3086600,16650,29610,70650,264247,66759,709000,103200,32430,17070,8660,237800,72676,157394,300880,196350,9330,24520,52630,371700,1480357,112880,105999,31888,296600,2005641,768592,19527,21897,237875,142483,180500,160770,238740,
3/1981,3,2136500,189100,13790,0,4320700,21920,3259700,17890,30500,72570,259269,65201,851400,115080,27100,18060,8410,237728,96332,179081,324540,190070,7190,27970,58680,420800,1493627,115100,107807,38797,342400,2026692,782081,41347,36654,241264,142640,196600,165610,287570,
4/1981,4,2247400,231400,13960,0,4295900,21850,3404300,20520,30700,73580,450391,68026,941900,158800,36200,26980,8120,234380,101103,179944,326060,199190,21710,45880,60190,404200,1464148,184300,110707,43667,413300,2014635,882765,81790,51338,265290,142353,197100,163090,278730,
5/1981,5,2292900,236900,14120,0,3994300,21680,3252800,21000,27870,72420,489335,66917,881100,182300,59000,36070,7700,219824,89275,167141,313920,198700,61900,50600,60860,383800,1458106,317100,110905,40192,431400,1687728,936990,128292,55493,305160,80508,187800,163550,278730,
6/1981,6,2191800,239300,13820,0,3608600,22430,3111600,20120,23980,69450,470068,65588,726100,171800,62100,38100,7930,202394,67670,150224,296010,196660,58500,65600,63950,305700,1376427,352700,96657,29449,368200,1078310,714950,91710,39440,283585,76573,193300,159740,247890,
7/1981,7,2057600,237500,13880,0,3033000,21890,2672900,19000,19740,66620,431458,66571,658300,139000,49360,37700,8360,179312,63622,131830,288690,181650,51500,59380,65040,219000,1257375,310400,56356,16811,227700,514265,462115,27953,18591,219244,74574,182500,157180,212440,
8/1981,8,1864400,238000,13900,0,2547600,22740,2446700,17770,17580,63780,398605,68274,617100,107700,36300,37010,8360,172450,58148,114926,277140,171560,38100,51040,64780,149400,1158799,266200,18989,10763,178500,258742,307886,11185,12250,178011,72625,177200,165750,171000,
9/1981,9,1702300,234100,13800,0,2480200,22290,2354400,16830,17060,62030,375993,68090,600000,70990,33580,34060,8410,169140,50911,102563,255970,182820,18870,41690,62960,124300,1119487,214400,10976,10528,164300,263381,327914,7702,7411,171498,70550,168900,159960,160470,
10/1981,10,1661800,204200,13800,0,2560200,20730,2381800,16640,17060,67990,371144,65969,557400,74120,36000,20550,8310,168450,47690,96996,261000,185800,8220,34180,57780,141100,1125281,182600,10890,10735,183600,261485,348873,9597,7461,169162,60970,166100,164160,180950,
11/1981,11,1887500,205400,13330,0,3336700,20990,2891300,23230,23070,75880,614134,65317,625500,124220,63310,23490,8030,189623,57239,105711,275630,193330,14040,36410,61260,204500,1182855,191620,12249,12576,224600,214454,400840,18415,8885,167735,82392,164700,165940,211890,
12/1981,12,2090500,200200,14140,0,3492000,21800,2861400,23470,30890,80010,830761,74261,683300,195600,62600,31100,7890,230096,59673,130583,274050,193400,24600,53760,59180,345700,1300151,201300,15171,15225,334600,79267,450479,15733,13203,168270,114502,163000,153780,252170,
1/1982,1,1983500,204700,13510,0,3556300,22630,2778100,23050,34220,77680,761893,70044,622900,212260,32350,23180,8120,261976,45647,170421,253120,190950,7900,64600,55580,493100,1483411,184700,48402,31617,407200,81248,548447,10138,10471,174644,124431,162300,161110,279930,
2/1982,2,2080600,199900,14100,0,3633500,21800,2955020,23530,44580,81940,802415,71086,650600,233200,39660,30620,8310,261710,63126,184890,296890,196830,28250,78530,51790,726400,1655637,207760,77223,45839,375000,249922,632853,26575,26394,183104,156356,161080,165780,304940,
3/1982,3,2108700,206100,14240,0,4062000,21750,3009590,23560,50670,78880,846412,71583,815700,225770,45200,36080,8360,273148,103298,252639,313340,190930,15500,78520,62000,903100,1719750,186400,120346,67786,489500,642244,782081,61240,35764,211289,172410,164110,160210,307190,
4/1982,4,2295000,235300,13700,0,4472700,22140,3273600,24050,57590,81360,895801,71251,837100,246400,56260,44670,8710,283998,136738,276189,349120,211190,54500,89870,57210,1229400,1782169,227800,140430,84902,399300,1064590,926607,133279,81207,363829,198925,182000,164990,308230,
5/1982,5,2415800,237600,13930,0,4507500,23230,3514600,23490,56270,84690,963892,70765,997900,274500,75200,43890,8710,288200,77931,275913,380220,210580,63700,97610,58620,1546200,1803352,318500,142171,81632,455500,1064794,929225,138065,90681,525349,200656,176900,166460,317760,
6/1982,6,2429400,239600,14000,0,4375400,21250,3490100,22920,53900,83490,948420,68186,955700,275300,74020,45630,8070,288126,58435,264291,420050,211550,64120,97650,62880,1636300,2005528,361500,136069,76429,525800,761682,983871,143328,82167,560083,176889,176900,158270,317940,
7/1982,7,2370700,239500,13950,0,4071200,23550,3318300,22230,49970,80600,825126,67732,933200,243800,73550,44860,8200,283647,48710,249440,392690,202240,64200,97740,63850,1567500,2002962,361200,123119,73820,497700,307807,890022,95712,75720,512295,185396,172100,153440,303600,
8/1982,8,2251500,238800,14170,0,3692400,22260,3000200,20880,45770,,674924,68747,839900,192800,62450,44400,7610,272445,45468,232632,374520,186280,60900,90750,63200,1431700,1881784,349800,107553,48951,371800,63452,677345,25333,45601,408137,184326,165400,156540,285490,
9/1982,9,2114800,231400,14380,0,3486400,22070,2775100,20000,44360,75620,573514,,756100,156000,67160,42860,8120,262610,30366,221992,349670,177000,54690,85390,62920,1357900,1747286,342800,106297,37011,363500,23476,743657,30963,27521,375465,184570,159500,151100,284680,
10/1982,10,2047000,217500,13930,0,3433400,22780,2743700,19970,44910,75810,448528,67382,731200,186200,68790,34090,8310,261254,23079,220678,310690,184110,63500,84100,62070,1352200,1647894,344100,105850,29476,325300,54306,736908,25896,16459,313395,193191,153200,163990,291040,
11/1982,11,1985100,207400,14190,0,3297100,20660,2829700,20420,45880,77410,456465,68788,675000,192800,55500,32550,8120,265341,31213,208373,267090,200300,39730,78400,60000,1430500,1712917,337500,109268,25132,353800,191458,697751,23924,16174,267246,204890,153100,155150,301950,
12/1982,12,2016700,204600,14530,0,3255000,22280,2808800,21490,47770,77680,514441,67153,635900,198100,42880,30180,7930,260076,23753,158804,264420,186630,20700,78000,59230,1541900,1684668,295000,108514,25010,359200,464401,644672,66291,35681,261556,210430,167600,153790,313160,
1/1983,1,2116800,240400,14390,0,3740300,20660,2804200,22960,50030,73060,556824,68587,636900,211200,31390,24540,7980,273000,65430,174433,288010,189140,6620,77960,55740,1682700,1686915,274400,111530,34397,398400,1002166,646018,70543,56609,290764,201685,205400,161510,315870,
2/1983,2,2133400,253200,14560,0,3579400,22270,2868800,23280,54220,71720,722717,71774,655000,209000,28100,24650,8170,271557,83407,193424,296390,186320,10220,75780,58840,1880100,1730037,259200,114308,31219,423600,1545817,664597,75456,60123,357027,202589,205500,161630,320220,
3/1983,3,2201700,245500,13880,0,3725100,20600,2834600,23730,55860,71350,794667,71169,651600,220340,9820,23320,8120,269633,55196,192782,305220,200790,6380,78430,59980,2070500,1885153,235860,116153,52915,395000,1869451,764921,70364,59345,467478,202944,205300,158810,319850,
4/1983,4,2143500,239900,14350,0,4286100,22610,2935300,23770,56940,68620,848701,70748,765700,194200,6370,8970,7610,288311,137171,236815,258180,164600,2840,78430,64130,1931300,1672350,150680,140327,77503,159500,1997798,554691,,61706,383958,227879,205600,158340,322090,
5/1983,5,2360900,238300,13770,0,4526800,22280,3309400,25010,59090,81700,924880,72358,821500,229610,42590,27970,7840,291439,115398,261653,265960,191780,58600,94700,66300,2028300,1470210,223360,143766,87507,249100,2022628,594523,74788,80645,485702,254493,204700,162800,313450,
6/1983,6,2435000,239000,14080,0,4471200,21900,3491300,23390,56010,84100,965718,70864,989000,272700,73250,44020,7890,292780,96544,255334,403010,211800,60680,96490,63760,2368700,1831901,361200,144202,78981,507000,2018186,915895,144806,82019,628177,239567,204810,153730,297490,
7/1983,7,2419700,238600,13480,0,4169900,21530,3280300,22280,53120,81380,914790,68989,944700,270390,74450,39820,8610,291890,82468,242861,413360,210100,63900,97560,65750,2325400,2017109,362930,136103,65910,497900,1913232,979163,138858,81649,518528,192782,202200,157110,293080,
8/1983,8,2294100,238500,14490,0,3776200,23040,3036100,21750,49650,78880,793739,68306,841300,258700,67460,21360,8510,287867,67298,227470,396550,204260,58700,97780,63200,2141700,1934620,357000,118484,51922,477100,1856743,925412,80109,49144,489430,193034,199500,156030,272900,
9/1983,9,2164100,236100,14150,0,3616800,22350,2818300,20850,47440,76720,692553,68892,751800,267900,57300,2080,8360,280137,33774,217685,352560,187740,45850,97710,66340,2024200,1704972,327600,114339,51693,371100,1939820,864638,28685,23594,396391,194611,196300,132340,283190,
10/1983,10,2063000,218800,14040,633,3458000,22560,2731800,20610,47610,76000,575471,66830,685500,267900,58940,1850,8360,267598,26040,221598,304000,184900,38490,86290,62070,1971300,1521479,288500,104648,16754,297100,1998430,771658,13151,13191,328457,197840,197600,138380,276970,
11/1983,11,2055700,203100,13980,22447,3395400,21510,2837700,22930,51560,81230,734368,63823,625200,235500,71470,1890,7890,259658,26615,170571,274290,198890,51250,79840,59990,2036100,1688039,303770,107538,26774,332300,1975215,739553,41276,21811,300710,223715,197600,143600,276110,
12/1983,12,2115100,206700,13450,36392,3457500,22100,2830800,23430,56910,81980,801990,74074,677200,241000,73250,8480,8260,258024,31388,157423,262170,210560,46580,76630,59230,2052300,1766990,313900,115671,36325,420600,1888384,763140,63746,45075,312029,205216,200600,153430,270730,
1/1984,1,1975200,200800,13990,19172,3405200,22610,2754100,22910,52950,75100,742662,62879,633500,206480,67940,14130,8660,254144,45826,158084,236580,194640,32120,78090,59510,1911100,1618284,292020,113784,37193,406800,1885162,674490,38337,35955,302636,198957,204600,157360,262180,
2/1984,2,1935800,205900,14190,29563,3789900,22780,2887500,22980,52570,78340,735613,65464,682900,194320,53250,14960,8260,262344,82889,180438,249320,201950,14900,78130,58840,1904400,1526680,271030,122718,47026,372400,1957113,735861,25363,29870,264354,200624,204200,154330,255130,
3/1984,3,2067100,208600,13730,32448,4133600,22380,3092200,23390,53430,80400,796906,67947,773400,197760,40090,20780,8610,270188,112823,199905,266680,202150,10030,78170,59230,1941500,1434102,266600,120615,54509,415400,2013241,743105,36765,35586,275787,202880,202000,153010,228940,
4/1984,4,2179300,210100,13960,22871,4342700,21920,3321400,22680,55670,81880,850906,66602,900600,185630,32370,28490,8410,274209,102857,200494,286460,203450,17880,95510,64220,1933900,1424199,278730,109676,42231,471500,1995018,784455,83997,49330,313480,204728,198700,162150,214520,
5/1984,5,2390900,238700,13750,14448,4294400,21620,3363600,23050,55240,82770,954607,66759,986900,233000,66440,44130,8210,270447,88230,190991,364430,211870,63960,97640,65650,2030700,1617196,362540,82987,34475,490800,1704091,945141,141894,59696,400836,208782,194400,154750,189930,
6/1984,6,2428500,237500,14020,12427,4070000,22350,3234100,22620,51510,80910,918362,67390,930700,274700,73830,45340,8410,256846,75981,177239,407220,204360,64240,97500,64510,2059200,1741522,362700,48168,24631,425300,1298825,882599,95904,60086,395619,192971,190000,159670,164720,
7/1984,7,2283600,237500,14150,10808,3587400,21060,2860700,18910,47510,77800,796906,66956,704700,259530,67940,45160,8210,240032,65010,159266,405590,187860,57290,97210,65430,1986000,1651209,351500,28602,10417,278700,852802,676107,38103,44932,353470,194706,182200,157590,150010,
8/1984,8,2067100,239000,14360,7863,3305500,22070,2633100,17340,43070,74440,624861,68587,685500,222570,49580,43510,8460,227372,45513,141307,387620,182000,45490,91400,65340,1909900,1456568,310940,25102,8886,197200,800071,536786,11592,28213,298790,193191,176900,154320,113660,
9/1984,9,1888900,233900,14180,4566,3240100,21180,2529300,15940,41310,71980,476213,64655,681000,179540,47860,40700,8260,224312,30952,127828,350080,184000,28340,87320,65600,1841200,1512151,266600,24562,8790,162300,812264,514428,11691,19439,277545,191246,171600,164730,84290,
10/1984,10,1857700,224800,13710,3663,3155400,22630,2538300,15150,40880,70800,420003,66109,625600,167800,49160,36210,7980,221456,26071,124448,321440,188900,20790,75510,62670,1825600,1504926,226500,21208,8923,153300,958914,515171,15975,9805,258546,190123,168100,161950,67310,
11/1984,11,1924200,206300,13970,34869,3252300,,2699100,15530,41440,71870,443721,65573,633100,192600,51060,26930,7930,232616,49014,130143,309590,191000,13200,70420,58880,1873100,1522522,203500,22918,10505,182800,1280213,556665,14088,13377,254485,192813,167100,153170,115640,
12/1984,12,1888900,205400,13780,44261,3105500,22470,2672700,15190,41880,71430,392812,55534,599700,204800,32530,22590,8030,233372,43857,135186,298220,180050,11530,78630,58800,1885300,1485450,176220,24500,12883,242200,1572041,593278,9075,9345,244979,192908,168600,153730,133380,
1/1985,1,1873400,204800,13830,43731,3118200,21950,2718000,14800,43260,70730,358554,64647,592200,194000,30590,17740,8210,234956,47552,138429,295820,174000,12020,30350,58160,1866500,1496702,141900,25958,15231,329100,1750123,622834,12678,13049,244085,192908,168600,152590,196490,
2/1985,2,1870100,206000,13980,54051,3240400,21990,2829700,15510,43220,71390,407827,62916,633100,171800,25490,19190,7890,245252,57420,153659,290810,192100,6140,25510,59820,1867600,1537123,115600,30846,19765,292200,1795846,614797,10824,15463,234660,193853,169200,153780,255280,
3/1985,3,1891800,205200,14260,69512,3445500,21900,3002000,17600,45780,73880,477742,64127,738600,172000,23600,21620,8070,251492,64870,173887,316010,191700,3560,23370,59890,1903400,1545516,96060,37157,27309,270900,1844433,594834,27723,27254,232482,193506,168200,163930,273150,
4/1985,4,2048700,233700,13670,73862,3546900,22300,3263300,23360,52860,79460,614420,65047,891700,229700,47310,33160,8170,233732,74211,172738,346650,183140,26090,59660,62780,1921200,1555000,162100,40016,33143,372100,1791341,719519,95090,47303,308034,179815,165700,158310,280610,
5/1985,5,2119500,238300,14000,73311,3225400,22040,3064200,22690,50600,77800,666408,67549,879800,258700,71090,42850,8170,210984,74940,159989,318880,190810,57630,76930,65520,1900300,1536076,300100,40232,35378,424300,1539573,837001,141914,55114,375559,128534,160700,158600,262560,
6/1985,6,2127100,237700,14410,71722,2856300,22940,2718000,21600,46510,75050,635777,67756,776500,260130,73710,44330,8410,190778,62743,145123,298030,187500,59450,87600,64850,1822600,1459111,341900,25671,24350,343100,1112344,664786,88281,45508,367627,124909,155188,162280,244650,
7/1985,7,2027500,238200,14060,69658,2292100,22540,2413900,19960,43720,72200,577741,65666,668700,218540,67110,41290,8610,164280,50576,127828,273030,187500,51140,83130,65010,1667600,1327080,305000,11043,11951,222500,727162,333000,22075,23289,288060,122660,149175,161450,226750,
8/1985,8,1915600,238100,13550,66809,1929200,22450,2171300,18200,39650,69050,539154,66869,606100,182070,58900,34430,8510,143656,49131,111008,253530,192250,39690,73110,65060,1540300,1238612,259100,10740,9781,163200,603209,192082,8012,18290,226090,120718,141724,161610,200460,
9/1985,9,1761700,224800,14060,64532,1977800,22300,2132400,17040,38650,67360,531369,61723,587400,148550,54860,28600,8460,140145,43748,100807,246120,193780,28640,59790,65130,1508100,1213036,219410,10546,9701,170600,762777,220171,10344,12945,203510,118195,135748,158960,199590,
10/1985,10,1632700,221000,13480,61911,2083100,22430,2065500,15780,38070,65800,510542,55637,524100,143000,48920,25930,7650,138600,37506,95426,256900,185530,26920,26920,59980,1515000,1199959,198100,10423,9947,182700,922435,263254,13987,11378,191236,116733,132900,162910,208680,
11/1985,11,1550900,206100,13730,62161,2173900,21990,2007700,14884,38260,65800,507361,60256,515800,167900,33370,21610,8460,140319,29552,96384,267630,185240,20380,41840,58980,1532300,1206921,181800,11169,11366,248100,1165085,304545,19184,11894,191494,117085,132000,161760,232820,
12/1985,12,1471900,205600,14053,70953,2422100,22270,2097900,14167,38680,65630,533366,56663,595600,146900,38470,20290,8920,145616,38180,99179,285470,170070,15870,30490,58720,1567400,1218296,180000,13250,14853,337200,1595959,368425,9697,8980,195516,118275,131000,160190,270610,
1/1986,1,1605100,213500,14410,102369,2973900,22180,2429300,15050,39890,68120,621970,56545,723100,170400,45880,22610,8820,153080,55221,108938,303810,185990,14100,35070,59370,1633000,1310316,172300,15086,19430,425600,1868710,458142,15754,12203,205724,122144,130600,159410,291710,
2/1986,2,2055600,204700,14410,258011,3811900,19660,2910900,22564,56460,84210,818536,72938,614300,242000,67560,35450,8210,260722,34051,186901,410780,211140,37290,78630,58670,1994600,1720891,219200,85119,46739,470400,1974334,805157,76470,48147,315450,159925,168220,164570,321250,
3/1986,3,2169000,205600,14030,245569,3703300,21790,2880300,23876,57340,84210,815647,71028,659900,239800,63600,34480,8410,267598,59832,195808,335470,194120,57500,52500,58890,2037200,1722032,264000,124695,57826,361100,2024787,835395,69474,53521,421836,204891,196200,167350,318250,
4/1986,4,2239300,238400,14030,245595,4084800,22910,3193300,23380,55940,83890,868683,63459,708400,257300,54095,33990,8760,268190,83407,202234,299110,193610,59670,83545,61600,2091400,1596615,257000,129534,63833,207600,2025803,745160,68861,65191,452768,191357,200300,161820,313120,
5/1986,5,2363000,238400,14500,241052,4083700,21450,3287500,22959,54990,83810,957711,66586,909600,270800,66610,41710,8760,268817,80514,194582,361500,211760,63730,96400,64590,2213300,1733477,309200,130077,65076,359700,1977482,883593,117552,80841,533100,167524,197000,162940,291080,
6/1986,6,2382400,237700,14165,234793,3801900,23428,3259800,22259,50730,80480,946522,66508,972200,259500,67650,42680,8026,265045,76813,179574,411750,201290,63970,97390,65800,2253700,1854751,360950,122255,55189,514000,1704450,996415,133520,79029,553166,184799,192700,162730,269160,
7/1986,7,2223900,237900,13705,226862,3498000,,2945400,20841,47410,77140,852673,67367,779900,225440,66770,40050,8869,256124,68879,162461,390010,195260,61250,95350,65910,2164200,1798628,356620,110617,40479,425100,1389871,846730,64505,57229,469360,184692,186230,160710,245550,
8/1986,8,2038800,237900,14008,218989,3255400,,2757000,19031,42400,73540,783574,66862,679500,188340,57610,34880,8101,252038,39633,145123,358920,194570,61150,85110,65982,2030600,1714055,319220,102865,30595,273900,1248961,627946,20115,31592,374623,182682,176410,166480,240120,
