station,id,elev,latitude,longitude,county,operating agency,River Basin
FARMINGTON (SPILL ELEV 156.5 FT),FRM,180,37.915,120.935,SAN JOAQUIN,US Army Corps of Engineers,LITTLEJOHN CR
SPICER MEADOWS,SPM,6516,38.393,119.998,TUOLUMNE,Calaveras County,STANISLAUS R
DONNELLS,DON,4835,38.329,119.96,TUOLUMNE,US Bureau of Reclamation,STANISLAUS R
RELIEF,RLF,7220,38.267,119.733,TUOLUMNE,Pacific Gas & Electric,STANISLAUS R
BEARDSLEY LAKE,BRD,3398,38.203,120.075,TUOLUMNE,US Bureau of Reclamation,STANISLAUS R
STRAWBERRY,SWB,5620,38.2,119.983,TUOLUMNE,Pacific Gas & Electric,STANISLAUS R
LYONS RESERVOIR,LYS,4134,38.094,120.166,TUOLUMNE,Pacific Gas & Electric,STANISLAUS R
NEW MELONES RESERVOIR,NML,1135,37.9481,120.525,CALAVERAS,US Bureau of Reclamation,STANISLAUS R
TULLOCH,TUL,515,37.875,120.603,CALAVERAS,US Bureau of Reclamation,STANISLAUS R
GOODWIN DAM,GDW,359,37.8628,120.6297,CALAVERAS,US Bureau of Reclamation,STANISLAUS R
CHERRY VALLEY DAM,CHV,4765,37.967,119.917,TUOLUMNE,Hetch Hetchy Water and Power,TUOLUMNE R
HETCH HETCHY,HTH,3870,37.95,119.783,TUOLUMNE,Hetch Hetchy Water and Power,TUOLUMNE R
DON PEDRO RESERVOIR,DNP,830,37.702,120.421,TUOLUMNE,Turlock Irrigation District,TUOLUMNE R
NEW EXCHEQUER-LK MCCLURE,EXC,879,37.585,120.27,MARIPOSA,Merced Irrigation District,MERCED R
BEAR,BAR,319,37.367,120.217,MARIPOSA,US Army Corps of Engineers,MERCED R
MARIPOSA CREEK DAM,MAR,459,37.292,120.147,MARIPOSA,US Army Corps of Engineers,MERCED R
OWENS CREEK DAM,OWN,424,37.282,120.187,MARIPOSA,US Army Corps of Engineers,MERCED R
BUCHANAN DAM,BUC,450,37.213,119.97,MADERA,US Army Corps of Engineers,CHOWCHILLA R
HIDDEN DAM (HENSLEY),HID,561,37.2,119.917,MADERA,US Army Corps of Engineers,FRESNO R
UPPER SAN JOAQUIN TOTAL,SJT,9999,99.999,999.999,none specified,None Specified,SAN JOAQUIN R
FRIANT DAM (MILLERTON),MIL,581,37.001,119.705,FRESNO,US Bureau of Reclamation,SAN JOAQUIN R
SAN LUIS RESERVOIR,SNL,543,37.033,121.133,MERCED,CA Dept of Water Resources,SAN LUIS CR
COURTRIGHT (PG&E),CTG,8192,37.072,118.967,FRESNO,Pacific Gas & Electric,KINGS R
